SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
CZ-wet,2007,2014,FLUXNET2015,CZ-wet_2007-2014_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Bay,1997,1999,LaThuile,DE-Bay_1997-1999_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Geb,2001,2014,FLUXNET2015,DE-Geb_2001-2014_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Gri,2004,2014,FLUXNET2015,DE-Gri_2004-2014_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Hai,2000,2012,FLUXNET2015,DE-Hai_2000-2012_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Kli,2005,2014,FLUXNET2015,DE-Kli_2005-2014_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Meh,2004,2006,LaThuile,DE-Meh_2004-2006_LaThuile_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Obe,2008,2014,FLUXNET2015,DE-Obe_2008-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Seh,2008,2010,FLUXNET2015,DE-Seh_2008-2010_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-SfN,2013,2014,FLUXNET2015,DE-SfN_2013-2014_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Tha,1998,2014,FLUXNET2015,DE-Tha_1998-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DE-Wet,2002,2006,LaThuile,DE-Wet_2002-2006_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DK-Fou,2005,2005,FLUXNET2015,DK-Fou_2005-2005_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DK-Lva,2005,2006,LaThuile,DK-Lva_2005-2006_LaThuile_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DK-Ris,2004,2005,LaThuile,DK-Ris_2004-2005_LaThuile_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DK-Sor,1997,2014,FLUXNET2015,DK-Sor_1997-2014_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
DK-ZaH,2000,2013,FLUXNET2015,DK-ZaH_2000-2013_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
